Gaia Username,Type (Character/Pokemon),Name,Belongs To Character,Nickname,Gender,Level,Shiny (Y/N),Shadow (Y/N),Age,Pronouns,Birthday,Height,Character Species,Hometown,Short Description,History
-l- JoltiBun -l-,Character,Gima Eisaku,,,Male,,,,26,,,,Human,Lumiose City,A 26-year-old ex-Cipher agent from Lumiose City now working with Snagem to recover his lost memories.,"Gima grew up in Lumiose City during a period when the Kalosian government, under Team Flare's control, restricted passage through the region. He escaped the city and joined Cipher, where he developed romantic feelings for a superior named Lorvina. Hoping to impress her, he volunteered for experiments in Eins's laboratory, which — with the involvement of a Beheeyem — cost him his memories of his time in Cipher and his past. He now works with Snagem to recover his lost memories and to stop the shadow virus affecting Pokemon."
-l- JoltiBun -l-,Pokemon,Honchkrow,Gima Eisaku,,M,45,N,N,,,,,,,,
-l- JoltiBun -l-,Pokemon,Crobat,Gima Eisaku,,M,67,N,N,,,,,,,,
-l- JoltiBun -l-,Pokemon,Onix,Gima Eisaku,,,45,N,Y,,,,,,,,
-l- JoltiBun -l-,Pokemon,Binacle,Gima Eisaku,,M,45,N,N,,,,,,,,
-l- JoltiBun -l-,Pokemon,Geodude,Gima Eisaku,,M,45,N,N,,,,,,,,
-l- JoltiBun -l-,Pokemon,Budew,Gima Eisaku,,M,45,N,N,,,,,,,,
-l- JoltiBun -l-,Pokemon,Mimikyu,Gima Eisaku,,M,45,N,N,,,,,,,,
-l- JoltiBun -l-,Character,Kalani,,,Male,,,,14 (appears 16),,Leo (zodiac only),5 feet,Human,Ula Ula Island,"A selfish, pretentious 14-year-old scion of Alolan royalty who covets power, money, and Legendary Pokemon.","Kalani hails from Alolan royalty on Ula Ula Island. He is characterized as a ""Royal Pain,"" selfish and pretentious, loving power, money, and Legendary Pokemon while dismissing weaklings, weak Pokemon, and other royalty. His full backstory was listed as ""under construction"" in the profile."
-l- JoltiBun -l-,Character,Geoffrey Meuller,,,Male,,,,26,,,,Human,"Snowpoint City, Sinnoh","A helpful but abrasive 26-year-old battle strategist from Snowpoint City, partnered with a Mawile named Rachen.","Geoffrey grew up in Snowpoint City in the Sinnoh region but left home seeking something more than ice and snow all year. Though typically helpful and strategically skilled in battle, his abrasive exterior makes him hard to trust and he has a bit of a temper. He travels with a female Mawile nicknamed Rachen."
-l- JoltiBun -l-,Pokemon,Mawile,Geoffrey Meuller,Rachen,F,36,N,N,,,,,,,,
A Scarecrow,Character,Morgan Dulac,,,Male,,,,24,He/him,,Several inches over six feet,Human,"Lavender Town, Kanto (currently nomadic)","A weathered 24-year-old drifter from Lavender Town with a good heart and a strong sense of justice, serving as a Snagem Scout.","Morgan is a lifelong wanderer who stowed away on a ship as a youth and has lived as a drifter ever since. His extensive travels made him worldly and accepting of diverse viewpoints, and he picked up survival skills, tracking ability, the knack of mimicking flying Pokemon calls, and street-honed hand-to-hand combat. Despite his rugged background he keeps strong moral principles, prefers diplomacy, and has a well-developed sense of justice that frequently complicates his life. He currently serves as a Tier 5 Snagem Scout."
A Scarecrow,Pokemon,Honedge,Morgan Dulac,,F,55,N,N,,,,,,,,
A Scarecrow,Pokemon,Mystery Egg,Morgan Dulac,,,,N,N,,,,,,,,
